Excipient_CID,Excipient_Smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
16204922,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+],330.315,-0.0184,70.34,0.0,4.0,4.0,3.0,3.0,0.15789473,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16211032,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,342.297,-5.3972,189.53,8.0,11.0,4.0,0.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
16211978,O=[Fe].O=[Fe]O[Fe]=O,231.531,-0.4323,60.44,0.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16213095,C(COCC1C(C(C(C(O1)OCCO)OCCO)OCCO)OCCO)O.C(C1C(C(C(C(O1)O)O)O)O)O,580.577,-6.3598,266.91,10.0,17.0,17.0,0.0,2.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
21226445,[H-].[H-].[H-].[H-].[Li+].[Al+3],37.955,-2.9268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21256123,[O-2].[O-2].[O-2].[O-2].[Fe+2].[Fe+2].[Fe+2],231.531,-0.4827,114.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21257725,B(O)(O)O.C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.C(C(CO)(CO)N)O,475.213,-6.4622,303.08,11.0,13.0,14.0,0.0,0.0,0.71428573,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
21584077,[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2],175.126,-3.5862,86.25,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21862903,O.O.[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2],211.156,-5.2356,149.25,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22146182,CC(=O)OC=C.C=CO,130.143,1.3809,46.53,1.0,3.0,1.0,0.0,0.0,0.16666667,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22477175,CCCCCCCCCCCCCCCCCCCCCC(=O)O.C(C(CO)O)O,432.686,6.2248,97.99,4.0,4.0,22.0,0.0,0.0,0.96,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22895896,CCCOC(C)COCCO,162.229,0.8104,38.69,1.0,3.0,7.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
23320441,O.[OH-].[O-2].[Fe+3],106.866,-1.1228,90.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23663626,COC(=O)C1=CC=C(C=C1)[O-].[Na+],174.131,-2.4492,49.36,0.0,3.0,1.0,1.0,1.0,0.125,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23663939,CC1=C(C=CC2=C1OC(=O)C(=C2[O-])NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O.[Na+],634.614,-0.00088,202.84,4.0,11.0,8.0,3.0,4.0,0.38709676,45.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
